VisualVHazimuth,VisualVHelevation,VisualRealazimuth,VisualRealelevation,AccousticVHmdnoLSazimuth,AccousticVHmdnoLSelevation,accousticVirtualHmdLaserazimuth,accousticVirtualHmdLaserelevation,accousticVHmdazimuth,accousticVHmdelevation,accousticRealazimuth,accousticRealelevation,accousticBlindHmdazimuth,accousticBlindHmdelevation,accousticBlindazimuth,accousticBlindelevation,VisualVHazTotal,VisualVHelTotal,VisualRealazTotal,VisualRealelTotal,accVirHmdNoLsaztotal,accVirHmdNoLseltotal,accousticVirtualHmdLaserazTotal,accousticVirtualHmdLaserelTotal,accVirHmdazTotal,accVirHmdelTotal,accRealazTotal,accRealelTotal,accBlindHmdazTotal,accBlindHmdelTotal,accBlindazTotal,accBlindelTotal
-95.85331564,22.34423723,-93.13020773,32.15231905,-91.08625479,20.52592859,-84.44533272,26.63186426,-88.01948844,21.06270094,-87.10254736,27.14681406,-93.16161109,17.99468603,-91.88887474,16.15725965,-87.17109965,22.67879634,-96.46750163,37.85502391,-100.6667433,23.2938972,-90.5659256,25.96919632,-101.7192793,21.64785152,-89.47486399,36.31372981,-94.79572581,45.27230601,-91.0976591,31.07879787
-62.40386229,22.37391062,-63.02792158,33.98709116,-63.40018721,28.9839612,-60.46995278,28.74718227,-64.45338812,25.30995169,-63.94657164,30.39621668,-72.937292,22.17193002,-66.44043265,26.06519212,-90.90006819,22.68962396,-98.86700239,37.05851663,-87.89672651,7.746688017,-75.4111557,26.15141106,-105.8671474,33.64647211,-82.72311201,17.3814956,-102.6986369,31.03386224,-78.21005049,10.21407998
-32.94526243,24.29514551,-32.81715155,33.49803438,-36.62002707,29.77598028,-29.89628372,26.96576309,-34.06503134,26.68515634,-31.22085066,32.89895868,-32.42140618,28.56809702,-40.08951693,26.32511663,-98.37804161,24.1370875,-93.82881675,27.53717677,-92.12708793,18.19886652,-89.29001617,27.57669449,-94.44413505,31.40337626,-97.13262687,25.17812602,-113.7823843,18.63522784,-107.304006,25.85931269
-0.549583135,24.3086915,0.361561499,32.34601984,4.39061815,37.36214628,0.142197796,27.47333718,1.277983107,24.69376535,-0.163653439,31.54136591,-2.673562637,37.74374399,-1.759113197,36.75577555,-99.82642478,31.50952341,-95.49790305,27.67640879,-66.36306113,10.92999461,-91.38262177,36.33059311,-76.38102835,21.60548594,-93.03064078,21.1489506,-60.63076133,14.46943285,-74.34004325,20.64560511
29.72176943,25.47493944,30.45916891,23.85358214,37.94999418,28.45958013,30.05084076,27.78078633,31.64344148,26.1584569,28.06972303,31.2685956,38.68518667,29.79634924,49.38153257,30.42655954,-106.8075555,23.5963186,-98.93617187,22.49170053,-101.2404321,25.02060831,-89.69326019,24.89413834,-66.37744079,0.275142074,-62.65232787,28.86815012,-84.86384521,25.73458231,-87.77596984,24.5376066
62.02225122,23.99505014,63.98890886,30.85923166,74.04544916,25.33322077,60.48134117,27.48124294,63.67926645,25.35949068,63.74964266,31.64966364,68.07414408,24.9150754,67.85248461,31.09534578,-92.7853532,19.31262232,-84.02055217,25.44485499,-86.6034608,25.93565012,-61.96870804,25.46055222,-95.42365886,21.68137766,-95.95264293,24.70906473,-82.63551952,11.04358889,-86.79987194,27.19596506
93.84053049,25.85153017,95.55835199,30.60318842,90.15993662,19.35735636,86.38809662,27.17262173,82.87015619,24.56719179,90.6888711,31.03458872,88.42885065,17.23556051,89.66381541,20.26885671,-89.77069394,26.69758167,-86.82253568,28.42291583,-98.00139157,21.94866504,-90.28199768,27.97372627,-91.01812283,23.31863727,-90.97521512,24.0685152,-93.92811887,-1.742012601,-93.59548489,-7.882488828
-92.859336,-3.531579307,-91.92530051,4.186408422,-89.92287206,0.412023542,-86.691185,-0.779275557,-88.50393438,-2.265934184,-89.82913427,6.71602473,-95.00905599,-1.125932171,-93.80373449,-1.734233898,-95.0375119,20.83542471,-89.87164124,33.69075232,-93.46085938,24.65792685,-85.92855072,28.43124008,-64.49009522,25.84639578,-86.12102326,25.88537055,-84.61048706,3.958147339,-84.20480164,16.0874465
-76.43432684,-2.171584513,-74.52141333,3.530848311,-82.3045043,-4.398133042,-73.98879242,-0.025684392,-82.64147024,-3.048956778,-72.78985281,6.270361707,-84.92516699,-0.592298629,-81.63046713,2.770300195,-101.8836138,17.52339571,-95.73017905,30.41085451,-96.86109183,29.74372118,-88.45919037,27.6701107,-96.71429465,15.9897043,-83.45097372,31.00532549,-110.1683657,18.3085367,-107.7244723,10.30080622
-61.43493605,-4.049539187,-60.05497351,4.457928274,-70.94109602,1.513632867,-61.68271027,-0.321999842,-63.55915213,-1.792874053,-58.24702673,7.662131974,-70.05756407,3.540549753,-64.10453405,-1.161046555,-95.97279381,14.46199807,-91.25977348,50.9349862,-87.64169334,17.78326806,-81.47190094,15.86098003,-87.75968193,15.21256646,-89.51204704,36.90941246,-103.5022662,13.23318871,-107.8363879,3.535465321
